goal_id,goal_type,stage,operation_family,pass_role,operation_kind,tool_family,material_family,diameter_mm,flute_count,nominal_chipload_min_mm_tooth,nominal_chipload_max_mm_tooth,rpm_min,rpm_max,axial_doc_rule,radial_woc_rule,stepover_pct_min,stepover_pct_max,scallop_height_max_mm,drill_depth_d_warn,drill_depth_d_fail,suggest_goal,sim_goal,optimize_goal,evidence_grade,source_id,source_url,notes
amana-tapered-softwood-parallel-3175-2f,vendor_lut_chipload,suggest+sim+optimize,parallel,finish,*,tapered_ball_nose,softwood,3.175,2,0.014,0.026,17000.0,24000.0,3d profiling finish,scallop driven,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_zrn_3d_profiling,https://www.amanatool.com/pub/media/productattachments/ZrN-3D-Profiling-Feed-Chip-Load-Chart.pdf,row_kind=exact;
amana-tapered-softwood-parallel-6000-2f,vendor_lut_chipload,suggest+sim+optimize,parallel,finish,*,tapered_ball_nose,softwood,6.0,2,0.022,0.04,14000.0,22000.0,3d profiling finish,scallop driven,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_zrn_3d_profiling,https://www.amanatool.com/pub/media/productattachments/ZrN-3D-Profiling-Feed-Chip-Load-Chart.pdf,row_kind=exact;
amana-tapered-hardwood-parallel-3175-2f,vendor_lut_chipload,suggest+sim+optimize,parallel,finish,*,tapered_ball_nose,hardwood,3.175,2,0.01,0.02,17000.0,22000.0,3d profiling finish,scallop driven,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_zrn_3d_profiling,https://www.amanatool.com/pub/media/productattachments/ZrN-3D-Profiling-Feed-Chip-Load-Chart.pdf,row_kind=exact;
amana-tapered-hardwood-parallel-6000-2f,vendor_lut_chipload,suggest+sim+optimize,parallel,finish,*,tapered_ball_nose,hardwood,6.0,2,0.018,0.032,14000.0,21000.0,3d profiling finish,scallop driven,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_zrn_3d_profiling,https://www.amanatool.com/pub/media/productattachments/ZrN-3D-Profiling-Feed-Chip-Load-Chart.pdf,row_kind=exact;
amana-tapered-mdf-parallel-3175-2f,vendor_lut_chipload,suggest+sim+optimize,parallel,finish,*,tapered_ball_nose,mdf,3.175,2,0.012,0.022,16000.0,22000.0,3d profiling finish,scallop driven,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_zrn_3d_profiling,https://www.amanatool.com/pub/media/productattachments/ZrN-3D-Profiling-Feed-Chip-Load-Chart.pdf,row_kind=exact;
amana-tapered-mdf-parallel-6000-2f,vendor_lut_chipload,suggest+sim+optimize,parallel,finish,*,tapered_ball_nose,mdf,6.0,2,0.02,0.036,13000.0,20000.0,3d profiling finish,scallop driven,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_zrn_3d_profiling,https://www.amanatool.com/pub/media/productattachments/ZrN-3D-Profiling-Feed-Chip-Load-Chart.pdf,row_kind=exact;
amana-tapered-acrylic-parallel-3175-2f,vendor_lut_chipload,suggest+sim+optimize,parallel,finish,*,tapered_ball_nose,acrylic,3.175,2,0.01,0.02,16000.0,21000.0,3d profiling finish,scallop driven,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_zrn_3d_profiling,https://www.amanatool.com/pub/media/productattachments/ZrN-3D-Profiling-Feed-Chip-Load-Chart.pdf,row_kind=exact;
amana-tapered-acrylic-parallel-6000-2f,vendor_lut_chipload,suggest+sim+optimize,parallel,finish,*,tapered_ball_nose,acrylic,6.0,2,0.015,0.028,13000.0,19000.0,3d profiling finish,scallop driven,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_zrn_3d_profiling,https://www.amanatool.com/pub/media/productattachments/ZrN-3D-Profiling-Feed-Chip-Load-Chart.pdf,row_kind=exact;
amana-tapered-hardwood-scallop-3175-2f,vendor_lut_chipload,suggest+sim+optimize,scallop,semi_finish,*,tapered_ball_nose,hardwood,3.175,2,0.012,0.024,16000.0,21000.0,3d profiling semi,scallop driven,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_zrn_3d_profiling,https://www.amanatool.com/pub/media/productattachments/ZrN-3D-Profiling-Feed-Chip-Load-Chart.pdf,row_kind=exact;
amana-tapered-hardwood-scallop-6000-2f,vendor_lut_chipload,suggest+sim+optimize,scallop,semi_finish,*,tapered_ball_nose,hardwood,6.0,2,0.018,0.032,13000.0,20000.0,3d profiling semi,scallop driven,,,,,,"new toolpath suggestion lands inside this row when exact-matchable, otherwise nearest row/interpolation must be conservative",tool_load_report chipload/power/deflection verdict Within for in-band cases; Exceeds when intentionally swept beyond this range,recommended candidate must preserve all applicable gates Within and not move outside this source row unless explicitly justified by a higher-confidence row,a,amana_zrn_3d_profiling,https://www.amanatool.com/pub/media/productattachments/ZrN-3D-Profiling-Feed-Chip-Load-Chart.pdf,row_kind=exact;
