case_id,case_group,operation_kind,project_template,fixture,geometry_kind,setup_face,tool_name,tool_type,tool_family,tool_diameter_mm,flute_count,material_family,goal_id,goal_type,quality_tier,baseline_params,variants,run_optimizer,notes
AS001,2d_rough,pocket,test_data/ux_2d_pocket.toml,fixtures/demo_pocket.svg,svg,top,End Mill 6mm,end_mill,flat_end,6.0,2,hardwood,amana-flat-hardwood-pocket-6000-2f,vendor_lut_chipload,,depth=6;depth_per_pass=2;stepover=2.4;feed_rate=900;plunge_rate=350,"feed_rate:450,900,1350",yes,"Closed pocket, vendor pocket hardwood row. Nominal fz baseline=0.025 at 18k/2, below row; useful first suggest miss check if not auto-fed."
AS002,2d_rough,adaptive,test_data/ux_2d_pocket_softwood.toml,fixtures/demo_pocket.svg,svg,top,End Mill 6mm,end_mill,flat_end,6.0,2,softwood,amana-flat-softwood-adaptive-6000-2f,vendor_lut_chipload,,depth=6;depth_per_pass=3;stepover=1.2;feed_rate=2500;plunge_rate=500,"feed_rate:1200,2500,3500;stepover:0.6,1.2,2.4",yes,Adaptive roughing with radial WOC/chip-thinning sensitivity.
AS003,2d_contour,profile,test_data/ux_2d_star.toml,fixtures/demo_star.svg,svg,top,End Mill 6mm,end_mill,flat_end,6.0,2,hardwood,community-chipload-profile-hardwood-6.35,community_nominal_chipload,,depth=4;depth_per_pass=2;side=outside;feed_rate=1800;plunge_rate=400,"feed_rate:900,1800,2700",no,Contour/community row; check collisions/corners.
AS004,2d_face,face,test_data/ux_step_plate_mdf.toml,fixtures/gui_step/plate_100x60x10.step,step,top,End Mill 6mm,end_mill,flat_end,6.0,2,mdf,community-chipload-face-mdf-6.35,community_nominal_chipload,,depth=1;depth_per_pass=0.5;stepover=3.0;feed_rate=2400;plunge_rate=500,"feed_rate:1200,2400,3600",no,Facing/flat stock load sanity.
AS005,2d_rough,zigzag,test_data/ux_2d_pocket_mdf.toml,fixtures/demo_pocket.svg,svg,top,End Mill 6mm,end_mill,flat_end,6.0,2,mdf,community-chipload-zigzag-mdf-6.35,community_nominal_chipload,,depth=4;depth_per_pass=2;stepover=2.4;angle=0;feed_rate=2400;plunge_rate=450,"stepover:1.2,2.4,4.8",no,Raster clearing; compare air-cut/coverage.
AS006,2d_rest,rest,test_data/ux_2d_pocket.toml,fixtures/demo_pocket.svg,svg,top,End Mill 3mm,end_mill,flat_end,3.0,2,hardwood,community-chipload-rest-hardwood-3.175,community_nominal_chipload,,depth=4;depth_per_pass=1;prev_tool_radius=3;feed_rate=700;plunge_rate=250,"feed_rate:350,700,1050",no,Rest cleanup; may expose missing remaining-stock setup in MCP.
AS007,trace_v,trace,test_data/ux_2d_star.toml,fixtures/demo_star.svg,svg,top,End Mill 3mm,end_mill,flat_end,3.0,2,hardwood,community-effective-dia-trace-hardwood-6.35,community_effective_diameter_chipload,,depth=1;feed_rate=700;plunge_rate=250,"feed_rate:350,700,1050",no,"Trace with flat tool; goal row is effective-diameter advisory, expect lower confidence."
AS008,trace_v,v_carve,test_data/ux_2d_star.toml,fixtures/demo_star.svg,svg,top,90deg V-bit 6mm,v_bit,v_bit,6.0,2,hardwood,community-effective-dia-v_carve-hardwood-6.35,community_effective_diameter_chipload,,max_depth=2;stepover=0.4;feed_rate=900;plunge_rate=250,"feed_rate:450,900,1350",yes,Depth-dependent V-bit chipload; agent should mark advisory if effective diameter not exposed.
AS009,trace_v,chamfer,test_data/ux_2d_star.toml,fixtures/demo_star.svg,svg,top,90deg V-bit 6mm,v_bit,chamfer_vbit,6.0,2,hardwood,community-effective-dia-chamfer-hardwood-6.35,community_effective_diameter_chipload,,width=1;feed_rate=900;plunge_rate=250,"width:0.5,1.0,2.0",no,Chamfer effective diameter grows with width/depth.
AS010,trace_v,inlay,test_data/ux_2d_star.toml,fixtures/demo_star.svg,svg,top,90deg V-bit 6mm,v_bit,v_bit,6.0,2,hardwood,community-effective-dia-inlay-hardwood-6.35,community_effective_diameter_chipload,,pocket_depth=2;glue_gap=0.1;feed_rate=800;plunge_rate=250,"glue_gap:0.0,0.1,0.2",no,Includes non-load fit quality; agent records if not measurable.
