operation_kind,label,domain,geometry_requirement,feeds_family,pass_role,typical_tool_families,optimizer_surface,applicable_acceptance_gates,notes
face,Face,2.5D,stock,pocket,roughing,flat_end|facing_bit,feed_rpm_doc_stepover,chipload;power;deflection;collision;air_cut,surfacing/facing; first-shot feed/DOC should be conservative because it often touches full stock width
pocket,Pocket,2.5D,polygons,pocket,roughing,flat_end|bull_nose,feed_rpm_doc_stepover,chipload;power;deflection;collision;air_cut,closed-region rough clearing; full-slot starts and internal corners are the critical load cases
profile,Profile,2.5D,polygons,contour,roughing,flat_end|bull_nose,feed_rpm_doc,chipload;power;deflection;collision;air_cut,inside/outside contour; corner engagement spikes and tab/link safety matter
adaptive,Adaptive,2.5D,polygons,adaptive,roughing,flat_end|bull_nose,feed_rpm_doc_stepover,chipload;power;deflection;collision;air_cut,constant-engagement rough clearing; radial WOC / chip thinning are first-class
v_carve,VCarve,2.5D,polygons,trace,finish,v_bit,feed_rpm_stepover,chipload_effective_diameter;power;deflection;collision;air_cut,variable effective diameter; chipload target is approximate and must be depth-aware
rest,Rest Machining,2.5D,polygons,pocket,roughing,flat_end|bull_nose,feed_rpm_doc_stepover,chipload;power;deflection;collision;air_cut,remaining-stock cleanup; must not assume fresh stock where previous tool removed material
inlay,Inlay,2.5D,polygons,trace,finish,v_bit,feed_rpm_stepover,chipload_effective_diameter;power;deflection;collision;air_cut;fit_quality,V-bit plug/pocket fit; geometric fit quality is a non-load gate
zigzag,Zigzag,2.5D,polygons,pocket,roughing,flat_end|bull_nose,feed_rpm_doc_stepover,chipload;power;deflection;collision;air_cut,raster clearing; boundary overshoot and repeated air passes are the likely failures
trace,Trace,2.5D,polygons,trace,finish,flat_end|ball_nose|v_bit|tapered_ball_nose,feed_rpm_doc,chipload;power;deflection;collision;air_cut,single-path engraving/scoring; sparse geometry means air-cut threshold is looser than surface finishing
drill,Drill,2.5D,polygons,pocket,roughing,drill|flat_end,not_optimizable,drill_chip_welding;peck_adequacy;plunge_feed;collision,Z-only peck cycle; legacy chipload/engagement are n/a
chamfer,Chamfer,2.5D,polygons,trace,finish,v_bit|chamfer_vbit,feed_rpm_only,chipload_effective_diameter;power;deflection;collision;air_cut,bevel edges; effective diameter grows with chamfer depth
drop_cutter,3D Finish,3D,mesh,parallel,finish,ball_nose|tapered_ball_nose|flat_end|bull_nose,feed_rpm_stepover,chipload;power;deflection;collision;air_cut;surface_finish,parallel raster surface finish; stepover/scallop is a quality gate
adaptive3d,3D Rough,3D,mesh,adaptive,roughing,flat_end|bull_nose,feed_rpm_doc_stepover,chipload;power;deflection;collision;air_cut,3D load-limiting rough; deep DOC + low radial WOC should preserve chip thickness
waterline,Waterline,3D,mesh,contour,semi_finish,flat_end|ball_nose|bull_nose|tapered_ball_nose,feed_rpm_doc,chipload;power;deflection;collision;air_cut;surface_finish,constant-Z contours; semi-finish stock and cusp on slopes matter
pencil,Pencil Finish,3D,mesh,trace,finish,ball_nose|tapered_ball_nose,feed_rpm_stepover,chipload;power;deflection;collision;air_cut;surface_finish,crease/concavity tracing; sparse but finish-quality sensitive
scallop,Scallop Finish,3D,mesh,scallop,finish,ball_nose|tapered_ball_nose,feed_rpm_scallop,chipload;power;deflection;collision;air_cut;scallop_height,constant-cusp finishing; optimizer must not treat looser scallop as free runtime
steep_shallow,Steep/Shallow,3D,mesh,contour,finish,ball_nose|tapered_ball_nose|flat_end,feed_rpm_stepover,chipload;power;deflection;collision;air_cut;surface_finish,hybrid waterline/raster; both slope regimes need quality checks
ramp_finish,Ramp Finish,3D,mesh,parallel,finish,ball_nose|tapered_ball_nose|flat_end,feed_rpm_doc,chipload;power;deflection;collision;air_cut;surface_finish,continuous Z descent; no-retract safety and DOC transitions matter
spiral_finish,Spiral Finish,3D,mesh,scallop,finish,ball_nose|tapered_ball_nose,feed_rpm_stepover,chipload;power;deflection;collision;air_cut;surface_finish,spiral surface finish; final stepover/cusp gate applies
radial_finish,Radial Finish,3D,mesh,parallel,finish,ball_nose|tapered_ball_nose|flat_end,feed_rpm_only,chipload;power;deflection;collision;air_cut;surface_finish,radial spoke pattern; center crowding and finish cusps are main non-load risks
horizontal_finish,Horizontal Finish,3D,mesh,parallel,finish,flat_end|bull_nose|ball_nose,feed_rpm_stepover,chipload;power;deflection;collision;air_cut;flatness_quality,flat shelf finishing; only useful on near-horizontal areas
project_curve,Project Curve,3D,both,trace,finish,ball_nose|tapered_ball_nose|v_bit|flat_end,feed_rpm_only,chipload;power;deflection;collision;air_cut,"sparse projected curves; high air-cut can be normal, collision is primary"
alignment_pin_drill,Pin Drill,2.5D,stock,pocket,roughing,drill|flat_end,not_optimizable,drill_chip_welding;peck_adequacy;plunge_feed;collision,stock registration holes; same drill gates as Drill
